#   x       y(x)         y(x)^2         classical p(x)      V
 -8.180  0.77444665E-11  0.59976761E-22  0.00000000E+00   33.456200
 -8.170  0.83621997E-11  0.69926384E-22  0.00000000E+00   33.374450
 -8.160  0.90282453E-11  0.81509213E-22  0.00000000E+00   33.292800
 -8.150  0.97463036E-11  0.94990435E-22  0.00000000E+00   33.211250
 -8.140  0.10520352E-10  0.11067782E-21  0.00000000E+00   33.129800
 -8.130  0.11354667E-10  0.12892846E-21  0.00000000E+00   33.048450
 -8.120  0.12253842E-10  0.15015664E-21  0.00000000E+00   32.967200
 -8.110  0.13222814E-10  0.17484280E-21  0.00000000E+00   32.886050
 -8.100  0.14266887E-10  0.20354406E-21  0.00000000E+00   32.805000
 -8.090  0.15391760E-10  0.23690629E-21  0.00000000E+00   32.724050
 -8.080  0.16603555E-10  0.27567804E-21  0.00000000E+00   32.643200
 -8.070  0.17908846E-10  0.32072676E-21  0.00000000E+00   32.562450
 -8.060  0.19314693E-10  0.37305737E-21  0.00000000E+00   32.481800
 -8.050  0.20828679E-10  0.43383386E-21  0.00000000E+00   32.401250
 -8.040  0.22458944E-10  0.50440416E-21  0.00000000E+00   32.320800
 -8.030  0.24214227E-10  0.58632880E-21  0.00000000E+00   32.240450
 -8.020  0.26103911E-10  0.68141416E-21  0.00000000E+00   32.160200
 -8.010  0.28138064E-10  0.79175063E-21  0.00000000E+00   32.080050
 -8.000  0.30327492E-10  0.91975678E-21  0.00000000E+00   32.000000
 -7.990  0.32683792E-10  0.10682303E-20  0.00000000E+00   31.920050
 -7.980  0.35219406E-10  0.12404066E-20  0.00000000E+00   31.840200
 -7.970  0.37947682E-10  0.14400266E-20  0.00000000E+00   31.760450
 -7.960  0.40882939E-10  0.16714147E-20  0.00000000E+00   31.680800
 -7.950  0.44040534E-10  0.19395687E-20  0.00000000E+00   31.601250
 -7.940  0.47436940E-10  0.22502632E-20  0.00000000E+00   31.521800
 -7.930  0.51089818E-10  0.26101695E-20  0.00000000E+00   31.442450
 -7.920  0.55018106E-10  0.30269920E-20  0.00000000E+00   31.363200
 -7.910  0.59242109E-10  0.35096275E-20  0.00000000E+00   31.284050
 -7.900  0.63783591E-10  0.40683465E-20  0.00000000E+00   31.205000
 -7.890  0.68665881E-10  0.47150032E-20  0.00000000E+00   31.126050
 -7.880  0.73913980E-10  0.54632764E-20  0.00000000E+00   31.047200
 -7.870  0.79554680E-10  0.63289471E-20  0.00000000E+00   30.968450
 -7.860  0.85616688E-10  0.73302173E-20  0.00000000E+00   30.889800
 -7.850  0.92130761E-10  0.84880771E-20  0.00000000E+00   30.811250
 -7.840  0.99129844E-10  0.98267260E-20  0.00000000E+00   30.732800
 -7.830  0.10664923E-09  0.11374057E-19  0.00000000E+00   30.654450
 -7.820  0.11472670E-09  0.13162216E-19  0.00000000E+00   30.576200
 -7.810  0.12340274E-09  0.15228237E-19  0.00000000E+00   30.498050
 -7.800  0.13272069E-09  0.17614780E-19  0.00000000E+00   30.420000
 -7.790  0.14272692E-09  0.20370975E-19  0.00000000E+00   30.342050
 -7.780  0.15347113E-09  0.23553387E-19  0.00000000E+00   30.264200
 -7.770  0.16500645E-09  0.27227129E-19  0.00000000E+00   30.186450
 -7.760  0.17738979E-09  0.31467139E-19  0.00000000E+00   30.108800
 -7.750  0.19068204E-09  0.36359640E-19  0.00000000E+00   30.031250
 -7.740  0.20494833E-09  0.42003820E-19  0.00000000E+00   29.953800
 -7.730  0.22025838E-09  0.48513753E-19  0.00000000E+00   29.876450
